Початок тривоги,Гео,Тривалість тривоги
2023-12-29 19:11:26+00:00,['березівк'],233
2023-12-30 17:37:35+00:00,['татарбунар'],45
2023-12-30 18:35:55+00:00,"['одес', 'одес', 'чорноморськ', 'заток', 'каролін', 'бугаз']",227
2023-12-31 15:09:26+00:00,"['березівк', 'очаков', 'одесс', 'одес']",172
2023-12-31 18:08:27+00:00,"['одес', 'одесс']",152
2023-12-31 21:12:34+00:00,"['черноморск', 'чабанк', 'лиманк', 'одес', 'поскот', 'одес', 'центр', 'гидропорт', 'усатов', 'одесс', 'миколаїв', 'одесс', 'одесс', 'березовк', 'одес', 'раздельн', 'черноморск', 'заток', 'школьн', 'поскот', 'одес', 'одес', 'одес', 'лиманк', 'усатов', 'одесс', 'усатов', 'южноукраїнськ', 'усатов', 'одес', 'одесс', 'одес']",203
2024-01-01 09:21:15+00:00,"['одес', 'поскот', 'аркад']",154
2024-01-06 19:52:22+00:00,"['южн', 'фонтанк', 'южн', 'чорноморськ', 'одес', 'центр', 'одесс', 'одесс']",222
2024-01-07 20:17:42+00:00,"['березовк', 'татарбунар', 'одесс', 'лебедевк', 'курортн', 'южн', 'сергеевк', 'одесс', 'паланк', 'поскот', 'слободк', 'шкільн']",128
2024-01-08 04:26:30+00:00,['одес'],119
2024-01-16 23:18:52+00:00,"['ланжерон', 'одес', 'ланжерон']",56
2024-01-17 04:39:44+00:00,"['одес', 'одес']",24
2024-01-17 08:30:04+00:00,"['одес', 'одес']",99
2024-01-17 20:52:37+00:00,['березівк'],70
2024-01-19 19:23:28+00:00,"['березівк', 'біляївк', 'первомайськ']",116
2024-01-24 18:19:41+00:00,"['біляр', 'одес', 'чабанк', 'татарбунар', 'чабанк', 'сарат', 'одес', 'одес', 'одес', 'березан', 'фонтанк', 'балк', 'сарат', 'біляївк', 'маяк', 'маяк', 'одес', 'одес', 'дальник', 'одес', 'шкільн', 'усатов', 'слободк', 'приморськ', 'одес', 'одес', 'маяк', 'одес', 'одес', 'одес', 'южн', 'одес', 'одес']",82
2024-01-24 20:53:21+00:00,"['одес', 'одес', 'одес']",49
2024-01-27 17:59:42+00:00,"['центр', 'одес']",35
2024-01-28 18:02:55+00:00,['первомайськ'],32
2024-01-28 19:10:45+00:00,"['березовк', 'вознесенск', 'южноукраинск']",114
2024-01-29 20:19:10+00:00,['вінниц'],134
2024-01-30 21:44:13+00:00,"['одес', 'білгород', 'біляївк', 'татарбунар', 'одес', 'роздільн', 'одес']",126
2024-02-02 18:46:14+00:00,"['березівк', 'вінниц', 'очаков', 'березівк']",196
2024-02-06 22:29:30+00:00,"['березовк', 'любашівк', 'ананьїв']",139
2024-02-07 03:19:11+00:00,"['очаков', 'березівк', 'миколаїв', 'миколаїв', 'миколаїв', 'одес']",242
2024-02-07 21:56:48+00:00,"['одес', 'центр', 'таїров', 'аркад', 'одес', 'одес', 'центр']",59
